snapshot_date,post_id,due_at,channel,is_video,views,impressions,reach,reactions,comments,shares,saves,clicks,follows,engagement_rate,avg_time_watched,text
2026-09-17,6aaaefe92f8f8da98df74181,2026-09-16T18:18:10.000Z,facebook,1,,,0,0,0,0,,,,,,
2026-09-17,6aaaee2942b2050a098d43d1,2026-09-16T18:17:38.000Z,instagram,1,36,,25,1,0,,,,,4,,
2026-09-17,6aaa1a6d146f6c1de55f12f3,2026-09-16T04:05:32.000Z,facebook,1,,,0,0,0,0,,,,,,
2026-09-17,6aaa1037501861120db5a4bc,2026-09-16T03:42:47.893Z,instagram,1,51,,44,2,0,,,,,4.55,,
2026-09-17,6aaa102c8df35c61371ac467,2026-09-16T03:42:36.344Z,facebook,1,,34,,0,0,0,,2,,5.88,,Lompoc Locals News · Sept 15 📰  🚒 Palm Drive house fire knocked down — no one inside 🏖️ Vandenberg beaches open early — 
2026-09-17,6aaa1020c9dce8b453180927,2026-09-16T03:42:24.393Z,instagram,1,107,,82,1,0,0,0,,0,1.22,,Lompoc Locals News · Sept 15 📰  🚒 Palm Drive house fire knocked down — no one inside 🏖️ Vandenberg beaches open early — 
2026-09-17,6aaa1014bcef7237b5ab50ce,2026-09-16T03:42:12.738Z,tiktok,1,279,,0,11,0,0,,,,3.94,6.09,"Lompoc Locals News · Sept 15 📰 House fire on Palm Drive, Vandenberg beaches reopen, $525K space fund, football week at H"
2026-09-17,6aa99b2eb9abb507b0f620a2,2026-09-15T18:54:55.000Z,facebook,1,,,0,0,0,0,,,,,,
2026-09-17,6aa98b76b98f37d11f7ffe6c,2026-09-15T18:16:22.411Z,instagram,1,55,,48,1,0,,,,,2.27,,
2026-09-17,6aa98b6853aac81142566c81,2026-09-15T18:16:08.124Z,facebook,1,,63,,1,0,0,,0,,1.59,,"Member Spotlight: Sweet Baking Co. 🧁  Everything is baked in small batches, so there's something new in the case every d"
2026-09-17,6aa98b5cb98f37d11f7ffd17,2026-09-15T18:15:56.555Z,instagram,1,525,,415,15,0,2,0,,0,4.82,,"Member Spotlight: Sweet Baking Co. 🧁  Everything is baked in small batches, so there's something new in the case every d"
2026-09-17,6aa98b4e47e2f481f80171f6,2026-09-15T18:15:42.522Z,tiktok,1,342,,177,20,0,0,,,,5.85,4.46,"Sweet Baking Co. 🧁 Something new in the case every day: cupcakes, sugar cookies, stuffed crepes, cotton candy lemonade. "
2026-09-17,6aa984d70af4c9bf05a82a77,2026-09-15T17:48:07.811Z,facebook,1,,163,,6,0,0,,4,,6.13,,"Member Spotlight · Sweet Baking Co. 🧁 Small-batch cupcakes on North H Street, so the menu changes almost every day: cupc"
2026-09-17,6aa984cba792b31729bd7375,2026-09-15T17:47:56.085Z,instagram,1,9,,0,1,0,0,0,,0,0,,"Member Spotlight · Sweet Baking Co. 🧁 Small-batch cupcakes on North H Street, so the menu changes almost every day: cupc"
2026-09-17,6aa984c053aac8114255aa50,2026-09-15T17:47:44.395Z,tiktok,1,0,,0,0,0,0,,,,0,0,"Member Spotlight: Sweet Baking Co. 🧁 Small-batch cupcakes, cookies and crepes on N H St, menu changes daily, vegan and d"
2026-09-17,6aa84738fec482bc62e36bb6,2026-09-14T16:12:11.000Z,facebook,1,,,0,1,0,0,,,,,,
2026-09-17,6aa81d19c077b7a1e2466ff3,2026-09-14T16:12:11.000Z,facebook,1,,0,,0,0,0,,0,,0,,
2026-09-17,6aa8024ddde457acdb07659e,2026-09-14T16:06:00.000Z,instagram,1,78,,68,2,0,,,,,3.13,,
2026-09-17,6aa8024adde457acdb076565,2026-09-14T16:04:00.000Z,facebook,1,,253,,2,0,0,,11,,5.14,,"Lompoc has a new place to find a home 🏡 Homes in Lompoc is open: real listings posted by real local agents, with photos,"
2026-09-17,6aa8024579dd2f9a1b4ec45e,2026-09-14T16:02:00.000Z,instagram,1,751,,500,6,1,2,0,,0,1.8,,"Lompoc has a new place to find a home 🏡  Homes in Lompoc is open: real listings posted by real local agents, with photos"
2026-09-17,6aa80242ebcdf9aed5f16974,2026-09-14T16:00:00.000Z,tiktok,1,887,,681,26,2,6,,,,3.83,6.79,"Lompoc has a new place to find a home 🏡 Homes in Lompoc: real listings by real local agents, with photos, open houses, a"
